Albert,KTM,9812398763,albert@gmail.com,35000,Male,A
Islington,BRT,9810460126,islington@gmail.com,46000,Both,A
British,BRT,9812304571,british@gmail.com,80000,Male,A
ISMT,KTM,9823541064,ismt@gmail.com,45000,Female,B
IIC,Pokhara,9801236478,iic@gmail.com,33000,Male,C
BIC,Illam,9842103564,bic@gmail.com,25000,Female,B
KIC,Dhankuta,9812348571,kic@gmail.com,55000,Female,B
KIST,Bhaktapur,9862310456,kist@gmail.com,60000,Both,C
HIC,Dharan,9801235410,hic@gmail.com,90000,Male,B
Neer,Itahari,9812300815,neer@gmail.com,100000,Both,A
LIC,Hetuda,9804876189,lic@gmail.com,66000,Male,A
NIC,Chitwan,9814267158,nic@gmail.com,77000,Male,C
